Time stamp,Reward,Error,Kp,Tn,Tv,setpoint,learning_rate,num_policy,num_reward,Status
82,-141.49429233931414,142.66822791538488,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
83,-142.66822791538488,143.8333772188417,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
84,-143.8333772188417,144.9897739557989,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
85,-144.9897739557989,146.13745390131655,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
86,-146.13745390131655,147.27645473227716,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
87,-147.27645473227716,148.40681587130288,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
88,-148.40681587130288,149.5285783409992,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
89,-149.5285783409992,150.64178462785748,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
90,-150.64178462785748,151.7464785551918,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
91,-151.7464785551918,152.8427051645258,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
92,-152.8427051645258,153.93051060488244,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
93,-153.93051060488244,155.00994202946595,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
94,-155.00994202946595,156.08104749925678,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
95,-156.08104749925678,157.14387589307265,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
96,-157.14387589307265,158.19847682367612,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
97,-158.19847682367612,159.24490055953783,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
98,-159.24490055953783,160.28319795188844,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
99,-160.28319795188844,161.31342036671649,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
100,-161.31342036671649,162.33561962139157,1.0,0.0,0.0,40.0,0.001,1.0,0.0,ok
101,-162.33561962139157,163.34984792561264,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
102,-163.34984792561264,164.35615782640104,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
103,-164.35615782640104,165.35460215687522,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
104,-165.35460215687522,166.34523398856214,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
105,-166.34523398856214,167.32810658701482,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
106,-167.32810658701482,168.3032733705217,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
107,-168.3032733705217,169.27078787170672,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
108,-169.27078787170672,170.23070370183095,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
109,-170.23070370183095,171.18307451762152,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
110,-171.18307451762152,172.12795399046155,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
111,-172.12795399046155,173.06539577778855,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
112,-173.06539577778855,173.99545349655585,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
113,-173.99545349655585,174.91818069862344,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
114,-174.91818069862344,175.83363084795124,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
115,-175.83363084795124,176.7418572994778,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
116,-176.7418572994778,177.642913279573,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
117,-177.642913279573,178.5368518679632,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
118,-178.5368518679632,179.4237259810299,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
119,-179.4237259810299,180.3035883563945,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
120,-180.3035883563945,181.1764915387023,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
121,-181.1764915387023,182.04248786652795,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
122,-182.04248786652795,182.90162946032822,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
123,-182.90162946032822,183.7539682113731,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
124,-183.7539682113731,184.59955577158982,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
125,-184.59955577158982,185.43844354426085,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
126,-185.43844354426085,186.27068267551752,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
127,-186.27068267551752,187.09632404657768,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
128,-187.09632404657768,187.91541826667742,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
129,-187.91541826667742,188.72801566665066,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
130,-188.72801566665066,189.53416629311323,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
131,-189.53416629311323,190.33391990321053,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
132,-190.33391990321053,191.12732595989218,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
133,-191.12732595989218,191.91443362767737,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
134,-191.91443362767737,192.6952917688771,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
135,-192.6952917688771,193.46994894024385,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
136,-193.46994894024385,194.238453390019,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
137,-194.238453390019,195.00085305535032,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
138,-195.00085305535032,195.75719556005555,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
139,-195.75719556005555,196.5075282127071,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
140,-196.5075282127071,197.25189800501633,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
141,-197.25189800501633,197.99035161049682,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
142,-197.99035161049682,198.72293538338712,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
143,-198.72293538338712,199.44969535781456,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
144,-199.44969535781456,200.17067724718356,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
145,-200.17067724718356,200.88592644377283,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
146,-200.88592644377283,201.59548801852597,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
147,-201.59548801852597,202.29940672102225,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
148,-202.29940672102225,202.99772697961444,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
149,-202.99772697961444,203.69049290172174,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
150,-203.69049290172174,204.3777482742659,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
151,-204.3777482742659,205.05953656424094,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
152,-205.05953656424094,205.7359009194061,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
153,-205.7359009194061,206.4068841690927,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
154,-206.4068841690927,207.07252882511628,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
155,-207.07252882511628,207.73287708278647,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
156,-207.73287708278647,208.38797082200608,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
157,-208.38797082200608,209.03785160845422,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
158,-209.03785160845422,209.68256069484406,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
159,-209.68256069484406,210.3221390222525,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
160,-210.3221390222525,210.95662722151246,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
161,-210.95662722151246,211.58606561466587,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
162,-211.58606561466587,212.21049421646956,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
163,-212.21049421646956,212.82995273595122,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
164,-212.82995273595122,213.44448057801003,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
165,-213.44448057801003,214.05411684505864,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
166,-214.05411684505864,214.65890033870213,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
167,-214.65890033870213,215.25886956145067,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
168,-215.25886956145067,215.85406271846244,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
169,-215.85406271846244,216.4445177193144,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
170,-216.4445177193144,217.0302721797967,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
171,-217.0302721797967,217.61136342372907,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
172,-217.61136342372907,218.1878284847973,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
173,-218.1878284847973,218.7597041084051,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
174,-218.7597041084051,219.3270267535422,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
175,-219.3270267535422,219.88983259466403,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
176,-219.88983259466403,220.4481575235831,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
177,-220.4481575235831,221.0020371513691,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
178,-221.0020371513691,221.55150681025637,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
179,-221.55150681025637,222.0966015555578,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
180,-222.0966015555578,222.63735616758242,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
181,-222.63735616758242,223.17380515355745,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
182,-223.17380515355745,223.70598274955094,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
183,-223.70598274955094,224.2339229223967,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
184,-224.2339229223967,224.75765937161808,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
185,-224.75765937161808,225.27722553135087,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
186,-225.27722553135087,225.79265457226424,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
187,-225.79265457226424,226.30397940347908,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
188,-226.30397940347908,226.81123267448183,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
189,-226.81123267448183,227.3144467770349,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
190,-227.3144467770349,227.8136538470815,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
191,-227.8136538470815,228.3088857666447,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
192,-228.3088857666447,228.80017416572062,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
193,-228.80017416572062,229.2875504241647,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
194,-229.2875504241647,229.77104567357088,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
195,-229.77104567357088,230.25069079914277,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
196,-230.25069079914277,230.72651644155687,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
